,fecha,Consumo,fecha_cruce,desempleo,fecha2,Consumo_sa,desempleo_sa
0,20140301,2.0882236990382648,20140301,6.5,2014-03-01,2.0718370597310236,6.546927083333333
1,20140401,2.089531877159587,20140401,6.1,2014-04-01,2.0626415417949286,6.122002840909091
2,20140501,2.0780265083617233,20140501,6.3,2014-05-01,2.02627952828843,6.016737689393939
3,20140601,2.0802190881192275,20140601,6.5,2014-06-01,2.0385000886325026,6.167836174242424
4,20140701,2.0879671169576905,20140701,6.5,2014-07-01,2.0643930904307894,6.080752840909091
5,20140801,2.068683420139422,20140801,6.7,2014-08-01,2.1285788638733116,6.3698058712121215
6,20140901,2.1380419458483235,20140901,6.6,2014-09-01,2.195419531003059,6.402037563131312
7,20141001,2.112315086556237,20141001,6.4,2014-10-01,2.1750874279288164,6.401759785353535
8,20141101,2.0992515866180805,20141101,6.1,2014-11-01,2.153460568367399,6.404389204545454
9,20141201,2.1347726596291134,20141201,6.0,2014-12-01,2.1553715623340453,6.4952604166666665
10,20150101,2.1413766717659843,20150101,6.2,2015-01-01,2.118990884764081,6.617192234848485
11,20150201,2.2151978758376534,20150201,6.1,2015-02-01,2.143047388882921,6.375298295454545
12,20150301,2.137508658825639,20150301,6.1,2015-03-01,2.1211220195183977,6.146927083333333
13,20150401,2.127461423790588,20150401,6.1,2015-04-01,2.100571088425929,6.122002840909091
14,20150501,2.0808062481762155,20150501,6.6,2015-05-01,2.0290592681029223,6.316737689393939
15,20150601,2.0501232594179526,20150601,6.5,2015-06-01,2.0084042599312277,6.167836174242424
16,20150701,2.0198704210351313,20150701,6.6,2015-07-01,1.9962963945082304,6.180752840909091
17,20150801,1.9772746661278844,20150801,6.5,2015-08-01,2.037170109861774,6.169805871212121
18,20150901,1.980686141414519,20150901,6.4,2015-09-01,2.0380637265692543,6.202037563131313
19,20151001,1.907613120801176,20151001,6.3,2015-10-01,1.9703854621737553,6.301759785353535
20,20151101,1.906561195316809,20151101,6.1,2015-11-01,1.9607701770661272,6.404389204545454
21,20151201,2.0814539432647283,20151201,5.8,2015-12-01,2.10205284596966,6.295260416666666
22,20160101,2.071660333735117,20160101,5.8,2016-01-01,2.0492745467332134,6.2171922348484845
23,20160201,2.1141733628378336,20160201,5.9,2016-02-01,2.0420228758831014,6.175298295454546
24,20160301,2.018431997449476,20160301,6.3,2016-03-01,2.002045358142235,6.346927083333333
25,20160401,1.9806747301354826,20160401,6.4,2016-04-01,1.9537843947708242,6.422002840909092
26,20160501,1.9668087530806442,20160501,6.8,2016-05-01,1.915061773007351,6.516737689393939
27,20160601,1.9563630030217958,20160601,6.9,2016-06-01,1.914644003535071,6.567836174242425
28,20160701,1.968875679751723,20160701,7.1,2016-07-01,1.9453016532248222,6.680752840909091
29,20160801,1.937841549168319,20160801,6.9,2016-08-01,1.9977369929022086,6.569805871212122
30,20160901,1.9609592848563075,20160901,6.8,2016-09-01,2.018336870011043,6.602037563131312
31,20161001,1.9795068685674728,20161001,6.4,2016-10-01,2.042279209940052,6.401759785353535
32,20161101,2.0048673235933414,20161101,6.2,2016-11-01,2.0590763053426597,6.504389204545454
33,20161201,1.9961273506858315,20161201,6.1,2016-12-01,2.0167262533907633,6.595260416666666
34,20170101,2.1761318101259874,20170101,6.2,2017-01-01,2.153746023124084,6.617192234848485
35,20170201,2.227161632055152,20170201,6.4,2017-02-01,2.1550111451004197,6.675298295454546
36,20170301,2.1823308980975376,20170301,6.6,2017-03-01,2.1659442587902964,6.646927083333333
37,20170401,2.1688388394970612,20170401,6.7,2017-04-01,2.1419485041324027,6.7220028409090915
38,20170501,2.1670825548879837,20170501,7.0,2017-05-01,2.1153355748146905,6.7167376893939394
39,20170601,2.1081067927140764,20170601,7.0,2017-06-01,2.0663877932273516,6.667836174242424
40,20170701,2.077419301663674,20170701,6.9,2017-07-01,2.053845275136773,6.4807528409090915
41,20170801,2.0172740675482954,20170801,6.6,2017-08-01,2.077169511282185,6.269805871212121
42,20170901,2.053492642577396,20170901,6.7,2017-09-01,2.1108702277321316,6.502037563131313
43,20171001,2.0449407392805035,20171001,6.7,2017-10-01,2.107713080653083,6.701759785353535
44,20171101,2.0969515114504995,20171101,6.5,2017-11-01,2.151160493199818,6.804389204545454
45,20171201,2.14329382211146,20171201,6.4,2017-12-01,2.163892724816392,6.895260416666667
46,20180101,2.2054934980085483,20180101,6.5,2018-01-01,2.183107711006645,6.9171922348484856
47,20180201,2.213612956941662,20180201,6.7,2018-02-01,2.1414624699869296,6.975298295454546
48,20180301,2.1013989305402174,20180301,6.9,2018-03-01,2.0850122912329763,6.946927083333334
49,20180401,2.0517128423905397,20180401,6.7,2018-04-01,2.024822507025881,6.7220028409090915
50,20180501,2.138763714188854,20180501,7.0,2018-05-01,2.0870167341155605,6.7167376893939394
51,20180601,2.075982525544336,20180601,7.2,2018-06-01,2.034263526057611,6.8678361742424245
52,20180701,2.1225305722529813,20180701,7.3,2018-07-01,2.09895654572608,6.880752840909091
53,20180801,2.034416188738467,20180801,7.3,2018-08-01,2.0943116324723565,6.969805871212121
54,20180901,2.0715763740512583,20180901,7.1,2018-09-01,2.128953959205994,6.902037563131312
55,20181001,2.1048368794320016,20181001,7.1,2018-10-01,2.167609220804581,7.101759785353535
56,20181101,1.9922468403204245,20181101,6.8,2018-11-01,2.046455822069743,7.104389204545454
57,20181201,2.0832353559800754,20181201,6.7,2018-12-01,2.103834258685007,7.195260416666667
58,20190101,2.090331817301781,20190101,6.8,2019-01-01,2.0679460302998773,7.2171922348484845
59,20190201,2.2039961151422536,20190201,6.7,2019-02-01,2.1318456281875213,6.975298295454546
60,20190301,2.154640447865179,20190301,6.85,2019-03-01,2.1382538085579377,6.896927083333333
61,20190401,2.173967828694997,20190401,6.86,2019-04-01,2.1470774933303383,6.882002840909092
62,20190501,2.161428326946451,20190501,7.09,2019-05-01,2.109681346873158,6.806737689393939
63,20190601,2.1840038203489693,20190601,7.1,2019-06-01,2.1422848208622445,6.767836174242424
64,20190701,2.198955951535161,20190701,7.17,2019-07-01,2.17538192500826,6.750752840909091
65,20190801,2.1195992490599025,20190801,7.19,2019-08-01,2.179494692793792,6.859805871212122
66,20190901,2.2514208227138504,20190901,7.05,2019-09-01,2.308798407868586,6.852037563131312
67,20191001,2.379923576208786,20191001,7.01,2019-10-01,2.442695917581365,7.011759785353535
68,20191101,2.485506493159357,20191101,6.88,2019-11-01,2.539715474908675,7.184389204545454
69,20191201,2.508183934142332,20191201,6.98,2019-12-01,2.528782836847264,7.475260416666667
70,20200101,2.4481189393543707,20200101,7.43,2020-01-01,2.4257331523524672,7.847192234848485
71,20200201,2.4573830040445532,20200201,7.81,2020-02-01,2.385232517089821,8.085298295454546
72,20200301,2.504075612132878,20200301,8.23,2020-03-01,2.487688972825637,8.276927083333334
73,20200401,2.6501448368580074,20200401,9.0,2020-04-01,2.623254501493349,9.02200284090909
74,20200501,2.7795065758929356,20200501,11.21,2020-05-01,2.7277595958196423,10.92673768939394
75,20200601,2.827629355041681,20200601,12.25,2020-06-01,2.785910355554956,11.917836174242424
76,20200701,2.676304874199407,20200701,13.09,2020-07-01,2.652730847672506,12.67075284090909
77,20200801,2.2374492886802217,20200801,12.93,2020-08-01,2.2973447324141114,12.599805871212121
78,20200901,1.8699351807353266,20200901,12.35,2020-09-01,1.927312765890062,12.152037563131312
79,20201001,1.5541256202786877,20201001,11.58,2020-10-01,1.616897961651267,11.581759785353535
80,20201101,1.4745750509414357,20201101,10.76,2020-11-01,1.528784032690754,11.064389204545455
81,20201201,1.430220030058399,20201201,10.29,2020-12-01,1.4508189327633307,10.785260416666665
82,20210101,1.4092161082728867,20210101,10.23,2021-01-01,1.386830321270983,10.647192234848486
83,20210201,1.4002200033195487,20210201,10.3,2021-02-01,1.3280695163648164,10.575298295454546
84,20210301,1.3562432517420837,20210301,10.35,2021-03-01,1.3398566124348426,10.396927083333333
85,20210401,1.3907203260928676,20210401,10.24,2021-04-01,1.3638299907282092,10.26200284090909
86,20210501,1.404888852704345,20210501,10.04,2021-05-01,1.3531418726310518,9.756737689393939
87,20210601,1.3758155997263433,20210601,9.5,2021-06-01,1.3340966002396184,9.167836174242424
88,20210701,1.2916565445462356,20210701,8.93,2021-07-01,1.2680825180193347,8.51075284090909
89,20210801,1.1652179863050882,20210801,8.55,2021-08-01,1.225113430038978,8.219805871212122
90,20210901,1.0970151778989035,20210901,8.41,2021-09-01,1.1543927630536388,8.212037563131313
91,20211001,1.0727728106235401,20211001,8.08,2021-10-01,1.1355451519961195,8.081759785353535
92,20211101,1.126062963968656,20211101,7.53,2021-11-01,1.1802719457179744,7.834389204545454
93,20211201,1.132084424600478,20211201,7.19,2021-12-01,1.1526833273054098,7.685260416666667
94,20220101,1.2371208791150292,20220101,7.27,2022-01-01,1.2147350921131255,7.687192234848485
95,20220201,1.321441042096423,20220201,7.5,2022-02-01,1.2492905551416909,7.7752982954545455
96,20220301,1.3479567461129185,20220301,7.8,2022-03-01,1.3315701068056773,7.846927083333333
97,20220401,1.4756126280310005,20220401,7.75,2022-04-01,1.4487222926663421,7.772002840909091
98,20220501,1.6439587997017606,20220501,7.8,2022-05-01,1.5922118196284674,7.516737689393939
99,20220601,1.7665624132187936,20220601,7.81,2022-06-01,1.7248434137320687,7.477836174242424
100,20220701,1.8867082559007313,20220701,7.92,2022-07-01,1.8631342293738304,7.500752840909091
101,20220801,2.0043473786335153,20220801,7.93,2022-08-01,2.064242822367405,7.599805871212121
102,20220901,1.9944133756021614,20220901,8.04,2022-09-01,2.0517909607568967,7.842037563131312
103,20221001,2.296263931638342,20221001,7.97,2022-10-01,2.3590362730109216,7.971759785353535
104,20221101,2.4014190685636247,20221101,7.95,2022-11-01,2.455628050312943,8.254389204545454
105,20221201,2.4844881197810484,20221201,7.86,2022-12-01,2.5050870224859803,8.355260416666667
106,20230101,2.7044186037983255,20230101,8.04,2023-01-01,2.682032816796422,8.457192234848485
107,20230201,2.784194314117242,20230201,8.37,2023-02-01,2.7120438271625096,8.645298295454545
108,20230301,2.7034525221264314,20230301,8.81,2023-03-01,2.6870658828191902,8.856927083333334
109,20230401,2.770541782950336,20230401,8.66,2023-04-01,2.7436514475856772,8.68200284090909
110,20230501,2.783162456635762,20230501,8.52,2023-05-01,2.7314154765624687,8.236737689393939
111,20230601,2.688657636823218,20230601,8.53,2023-06-01,2.646938637336493,8.197836174242424
112,20230701,2.746290349242001,20230701,8.77,2023-07-01,2.7227163227151,8.35075284090909
113,20230801,2.699086193658373,20230801,9.0,2023-08-01,2.758981637392263,8.669805871212121
114,20230901,2.759937437465633,20230901,8.91,2023-09-01,2.8173150226203685,8.712037563131313
115,20231001,2.819918101845422,20231001,8.89,2023-10-01,2.882690443218001,8.891759785353536
116,20231101,2.8702476678445197,20231101,8.73,2023-11-01,2.924456649593838,9.034389204545455
117,20231201,2.8896547513774595,20231201,8.48,2023-12-01,2.9102536540823913,8.975260416666666
118,20240101,2.9905354777613646,20240101,8.44,2024-01-01,2.968149690759461,8.857192234848485
119,20240201,3.0377706010829626,20240201,8.5,2024-02-01,2.9656201141282303,8.775298295454546
120,20240301,2.942630017385439,20240301,8.68,2024-03-01,2.926243378078198,8.726927083333333
121,20240401,2.8236500174682035,20240401,8.52,2024-04-01,2.796759682103545,8.54200284090909
122,20240501,2.7670141216881015,20240501,8.31,2024-05-01,2.715267141614808,8.02673768939394
123,20240601,2.782291311584048,20240601,8.35,2024-06-01,2.7405723120973233,8.017836174242424
124,20240701,2.694276829218293,20240701,8.68,2024-07-01,2.670702802691392,8.26075284090909
125,20240801,2.605037880327415,20240801,8.9,2024-08-01,2.6649333240613045,8.569805871212122
126,20240901,2.649275043853247,20240901,8.74,2024-09-01,2.7066526290079826,8.542037563131313
127,20241001,2.53767911654507,20241001,8.58,2024-10-01,2.600451457917649,8.581759785353535
128,20241101,2.517936577624265,20241101,8.22,2024-11-01,2.5721455593735834,8.524389204545455
129,20241201,2.4905862229762383,20241201,8.08,2024-12-01,2.51118512568117,8.575260416666666
130,20250101,2.3999548103409216,20250101,8.02,2025-01-01,2.377569023339018,8.437192234848485
131,20250201,2.473404327834846,20250201,8.38,2025-02-01,2.4012538408801136,8.655298295454546
132,20250301,2.414710466145205,20250301,8.71,2025-03-01,2.398323826837964,8.756927083333334
133,20250401,2.394711293853382,20250401,8.84,2025-04-01,2.3678209584887235,8.86200284090909
134,20250501,2.421153202646121,20250501,8.94,2025-05-01,2.369406222572828,8.656737689393939
135,20250601,2.4274155710643996,20250601,8.89,2025-06-01,2.385696571577675,8.557836174242425
136,20250701,2.3990125907635704,20250701,8.7,2025-07-01,2.3754385642366693,8.28075284090909
137,20250801,2.400468016302356,20250801,8.56,2025-08-01,2.4603634600362456,8.229805871212122
138,20250901,2.483696643331976,20250901,8.53,2025-09-01,2.5410742284867114,8.332037563131312
139,20251001,2.465452662061549,20251001,8.45,2025-10-01,2.5282250034341285,8.451759785353534
140,20251101,2.540849170914146,20251101,8.42,2025-11-01,2.5950581526634644,8.724389204545455
141,20251201,2.6216263171416854,20251201,8.05,2025-12-01,2.642225219846617,8.545260416666666
142,20260101,2.579597834126006,20260101,8.28,2026-01-01,2.5572120471241027,8.697192234848485
143,20260201,2.599583128908662,20260201,8.33,2026-02-01,2.5274326419539297,8.605298295454546
144,20260301,2.446283172228788,20260301,8.93,2026-03-01,2.4298965329215467,8.976927083333333
145,20260401,2.442724838465369,20260401,9.11,2026-04-01,2.4158345031007102,9.13200284090909
